State,City,Overall Percentile Rank,,Address,36.5677206,139.9033588
Georgia,Clarkston,92,,"Clarkston, Georgia",0,0
Oklahoma,Bristow,41,,"Bristow, Oklahoma",0,0
Iowa,Milford,0,,"Milford, Iowa",0,0
Alaska,Homer,0,,"Homer, Alaska",0,0
West Virginia,Lewisburg,0,,"Lewisburg, West Virginia",0,0
Florida,Lake Mary,44,,"Lake Mary, Florida",0,0
Illinois,Fairmont City,0,,"Fairmont City, Illinois",0,0
Oklahoma,Vinita,36,,"Vinita, Oklahoma",0,0
Arkansas,Judsonia,0,,"Judsonia, Arkansas",0,0
Florida,Pinecrest,0,,"Pinecrest, Florida",0,0
California,Laguna Niguel,70,,"Laguna Niguel, California",0,0
Ohio,Toledo,0,,"Toledo, Ohio",0,0
Pennsylvania,Bradford,0,,"Bradford, Pennsylvania",0,0
New York,East Rockaway,0,,"East Rockaway, New York",0,0
Colorado,Kiowa,0,,"Kiowa, Colorado",0,0
Indiana,St John,68,,"St John, Indiana",0,0
Nebraska,Genoa,0,,"Genoa, Nebraska",0,0
Ohio,Niles,0,,"Niles, Ohio",0,0
Montana,Harlem,0,,"Harlem, Montana",0,0
Ohio,Ottawa Hills,0,,"Ottawa Hills, Ohio",0,0
Pennsylvania,Dalton,0,,"Dalton, Pennsylvania",0,0
Minnesota,Harmony,0,,"Harmony, Minnesota",0,0
Georgia,Ludowici,0,,"Ludowici, Georgia",0,0
North Dakota,West Fargo,0,,"West Fargo, North Dakota",0,0
Ohio,Junction City,0,,"Junction City, Ohio",0,0
Ohio,South Bloomfield,0,,"South Bloomfield, Ohio",0,0
Iowa,Leon,0,,"Leon, Iowa",0,0
Arkansas,Greenbrier,0,,"Greenbrier, Arkansas",0,0
Texas,Kempner,0,,"Kempner, Texas",0,0
New York,Beacon,0,,"Beacon, New York",0,0
Pennsylvania,Morton,0,,"Morton, Pennsylvania",0,0
Mississippi,Tutwiler,0,,"Tutwiler, Mississippi",0,0
Ohio,Mayfield,0,,"Mayfield, Ohio",0,0
Iowa,Gladbrook,0,,"Gladbrook, Iowa",0,0
Georgia,Hagan,84,,"Hagan, Georgia",0,0
Oklahoma,Mountain View,0,,"Mountain View, Oklahoma",0,0
Tennessee,Murfreesboro,0,,"Murfreesboro, Tennessee",0,0
Ohio,Mason,0,,"Mason, Ohio",0,0
Pennsylvania,Port Royal,0,,"Port Royal, Pennsylvania",0,0
Mississippi,Lexington,0,,"Lexington, Mississippi",0,0
Arkansas,Fordyce,0,,"Fordyce, Arkansas",0,0
Arkansas,Arkadelphia,0,,"Arkadelphia, Arkansas",0,0
Oregon,Hubbard,0,,"Hubbard, Oregon",0,0
Vermont,Barre,0,,"Barre, Vermont",0,0
Louisiana,Delhi,0,,"Delhi, Louisiana",0,0
Virginia,Mount Jackson,0,,"Mount Jackson, Virginia",0,0
Minnesota,Stewartville,0,,"Stewartville, Minnesota",0,0
Iowa,Coon Rapids,0,,"Coon Rapids, Iowa",0,0
Illinois,Norris City,93,,"Norris City, Illinois",0,0
Louisiana,Cullen,90,,"Cullen, Louisiana",0,0
Washington,Yarrow Point,0,,"Yarrow Point, Washington",0,0
Delaware,Dagsboro,0,,"Dagsboro, Delaware",0,0
Tennessee,Loretto,0,,"Loretto, Tennessee",0,0
Illinois,Deer Park,0,,"Deer Park, Illinois",0,0
Ohio,Hillsboro,0,,"Hillsboro, Ohio",0,0
Iowa,Arnolds Park,0,,"Arnolds Park, Iowa",0,0
Mississippi,New Albany,0,,"New Albany, Mississippi",0,0
New Jersey,Woodbine,0,,"Woodbine, New Jersey",0,0
Louisiana,Morse,0,,"Morse, Louisiana",0,0
Nebraska,Dakota City,0,,"Dakota City, Nebraska",0,0
Mississippi,Moss Point,0,,"Moss Point, Mississippi",0,0
Minnesota,Little Canada,0,,"Little Canada, Minnesota",0,0
California,Ceres,0,,"Ceres, California",0,0
Minnesota,East Grand Forks,0,,"East Grand Forks, Minnesota",0,0
Iowa,Redfield,0,,"Redfield, Iowa",0,0
Minnesota,Independence,0,,"Independence, Minnesota",0,0
Alaska,Whittier,0,,"Whittier, Alaska",0,0
Pennsylvania,Seven Fields,0,,"Seven Fields, Pennsylvania",0,0
Indiana,Kirklin,0,,"Kirklin, Indiana",0,0
Ohio,St Henry,0,,"St Henry, Ohio",0,0
Oklahoma,Lenapah,0,,"Lenapah, Oklahoma",0,0
Oklahoma,Canadian,0,,"Canadian, Oklahoma",0,0
New Jersey,Garwood,0,,"Garwood, New Jersey",0,0
Ohio,Bucyrus,0,,"Bucyrus, Ohio",0,0
Indiana,Bluffton,0,,"Bluffton, Indiana",0,0
Iowa,Belle Plaine,0,,"Belle Plaine, Iowa",0,0
Pennsylvania,Braddock,0,,"Braddock, Pennsylvania",0,0
Ohio,Washington Court House,0,,"Washington Court House, Ohio",0,0
Ohio,Beach City,0,,"Beach City, Ohio",0,0
North Carolina,Pleasant Garden,0,,"Pleasant Garden, North Carolina",0,0
Pennsylvania,Steelton,0,,"Steelton, Pennsylvania",0,0
Ohio,West Jefferson,0,,"West Jefferson, Ohio",0,0
Washington,Granite Falls,0,,"Granite Falls, Washington",0,0
West Virginia,Bolivar,0,,"Bolivar, West Virginia",0,0
Wisconsin,Mineral Point,89,,"Mineral Point, Wisconsin",0,0
Maryland,New Market,0,,"New Market, Maryland",0,0
Texas,Onalaska,93,,"Onalaska, Texas",0,0
Oklahoma,Prague,0,,"Prague, Oklahoma",0,0
New York,Johnson City,0,,"Johnson City, New York",0,0
Pennsylvania,Cresson,0,,"Cresson, Pennsylvania",0,0
Colorado,Fraser,0,,"Fraser, Colorado",0,0
Ohio,Chillicothe,0,,"Chillicothe, Ohio",0,0
Oklahoma,Walters,0,,"Walters, Oklahoma",0,0
Pennsylvania,Ferndale,0,,"Ferndale, Pennsylvania",0,0
Ohio,Wauseon,0,,"Wauseon, Ohio",0,0
Texas,Mart,0,,"Mart, Texas",0,0
Iowa,Anamosa,0,,"Anamosa, Iowa",0,0
Kansas,Hoisington,0,,"Hoisington, Kansas",0,0
Indiana,Auburn,0,,"Auburn, Indiana",0,0
New Jersey,Watchung,0,,"Watchung, New Jersey",0,0
Iowa,Ida Grove,0,,"Ida Grove, Iowa",0,0
Pennsylvania,Hamburg,0,,"Hamburg, Pennsylvania",0,0
Louisiana,Hessmer,0,,"Hessmer, Louisiana",0,0
Mississippi,Union,0,,"Union, Mississippi",0,0
Montana,Great Falls,0,,"Great Falls, Montana",0,0
Ohio,Marshallville,0,,"Marshallville, Ohio",0,0
Minnesota,Victoria,0,,"Victoria, Minnesota",0,0
Pennsylvania,New Berlin,0,,"New Berlin, Pennsylvania",0,0
Pennsylvania,St Clair,0,,"St Clair, Pennsylvania",0,0
Oregon,Burns,0,,"Burns, Oregon",0,0
West Virginia,Hinton,0,,"Hinton, West Virginia",0,0
California,Solvang,28,,"Solvang, California",0,0
Illinois,Windsor,0,,"Windsor, Illinois",0,0
Ohio,Attica,0,,"Attica, Ohio",0,0
Montana,Butte-Silver Bow,0,,"Butte-Silver Bow, Montana",0,0
California,Escalon,0,,"Escalon, California",0,0
Missouri,Kirkwood,0,,"Kirkwood, Missouri",0,0
West Virginia,Anmoore,0,,"Anmoore, West Virginia",0,0
Kansas,Sublette,0,,"Sublette, Kansas",0,0
Ohio,Eaton,0,,"Eaton, Ohio",0,0
Nebraska,Juniata,0,,"Juniata, Nebraska",0,0
Pennsylvania,Ringtown,0,,"Ringtown, Pennsylvania",0,0
Florida,Debary,0,,"Debary, Florida",0,0
Montana,Pinesdale,0,,"Pinesdale, Montana",0,0
Missouri,Purdy,0,,"Purdy, Missouri",0,0
Oklahoma,Atoka,0,,"Atoka, Oklahoma",0,0
Ohio,Genoa,0,,"Genoa, Ohio",0,0
Illinois,Riverwoods,52,,"Riverwoods, Illinois",0,0
Washington,Burlington,0,,"Burlington, Washington",0,0
Ohio,Woodmere,0,,"Woodmere, Ohio",0,0
Montana,Livingston,0,,"Livingston, Montana",0,0
Mississippi,Tupelo,0,,"Tupelo, Mississippi",0,0
Montana,Missoula,0,,"Missoula, Montana",0,0
Minnesota,Clearwater,0,,"Clearwater, Minnesota",0,0
Washington,Sumner,0,,"Sumner, Washington",0,0
Illinois,Sandwich,0,,"Sandwich, Illinois",0,0
Minnesota,Thief River Falls,0,,"Thief River Falls, Minnesota",0,0
Minnesota,Twin Valley,0,,"Twin Valley, Minnesota",0,0
Washington,Ritzville,0,,"Ritzville, Washington",0,0
Montana,Baker,0,,"Baker, Montana",0,0
Montana,Chester,0,,"Chester, Montana",0,0
New Mexico,Mountainair,0,,"Mountainair, New Mexico",0,0
Georgia,Mountain City,0,,"Mountain City, Georgia",0,0
Montana,Helena,0,,"Helena, Montana",0,0
Indiana,Westport,0,,"Westport, Indiana",0,0
Delaware,Delaware City,0,,"Delaware City, Delaware",0,0
Missouri,Troy,0,,"Troy, Missouri",0,0
Indiana,Greensburg,64,,"Greensburg, Indiana",0,0
Oklahoma,Spiro,0,,"Spiro, Oklahoma",0,0
New York,Norwich,0,,"Norwich, New York",0,0
Ohio,South Amherst,0,,"South Amherst, Ohio",0,0
Montana,Cut Bank,0,,"Cut Bank, Montana",0,0
Montana,West Yellowstone,0,,"West Yellowstone, Montana",0,0
Ohio,Alliance,0,,"Alliance, Ohio",0,0
Illinois,Pawnee,28,,"Pawnee, Illinois",0,0
Nebraska,Ceresco,0,,"Ceresco, Nebraska",0,0
Montana,Manhattan,0,,"Manhattan, Montana",0,0
Illinois,Park City,0,,"Park City, Illinois",0,0
Indiana,Winamac,0,,"Winamac, Indiana",0,0
Pennsylvania,Southwest Greensburg,0,,"Southwest Greensburg, Pennsylvania",0,0
Missouri,Hillsboro,0,,"Hillsboro, Missouri",0,0
Montana,Whitefish,0,,"Whitefish, Montana",0,0
Ohio,Mount Sterling,0,,"Mount Sterling, Ohio",0,0
New York,Penn Yan,0,,"Penn Yan, New York",0,0
Pennsylvania,Hawley,0,,"Hawley, Pennsylvania",0,0
California,Larkspur,0,,"Larkspur, California",0,0
Pennsylvania,Milford,0,,"Milford, Pennsylvania",0,0
Ohio,Chardon,0,,"Chardon, Ohio",0,0
Montana,Columbia Falls,0,,"Columbia Falls, Montana",0,0
Georgia,Forest Park,0,,"Forest Park, Georgia",0,0
Louisiana,Mansfield,0,,"Mansfield, Louisiana",0,0
Pennsylvania,East Pittsburgh,0,,"East Pittsburgh, Pennsylvania",0,0
Utah,Marriott-Slaterville,78,,"Marriott-Slaterville, Utah",0,0
Colorado,Brighton,0,,"Brighton, Colorado",0,0
Montana,Baker,0,,"Baker, Montana",0,0
New Jersey,Oradell,0,,"Oradell, New Jersey",0,0
Illinois,Green Oaks,0,,"Green Oaks, Illinois",0,0
Mississippi,Taylorsville,0,,"Taylorsville, Mississippi",0,0
Montana,Dillon,0,,"Dillon, Montana",0,0
Alaska,Whittier,0,,"Whittier, Alaska",0,0
Florida,Sewalls Point,0,,"Sewalls Point, Florida",0,0
Maryland,Chevy Chase Village,0,,"Chevy Chase Village, Maryland",0,0
New Jersey,Clifton,0,,"Clifton, New Jersey",0,0
Mississippi,Marion,0,,"Marion, Mississippi",0,0
South Dakota,Gregory,0,,"Gregory, South Dakota",0,0
Idaho,Ketchum,0,,"Ketchum, Idaho",0,0
Colorado,Brighton,0,,"Brighton, Colorado",0,0
Kansas,Carbondale,56,,"Carbondale, Kansas",0,0
New York,Orchard Park,0,,"Orchard Park, New York",0,0
Indiana,Greensburg,0,,"Greensburg, Indiana",0,0
Florida,Eagle Lake,0,,"Eagle Lake, Florida",0,0
Mississippi,Bay St Louis,0,,"Bay St Louis, Mississippi",0,0
Iowa,Belmond,0,,"Belmond, Iowa",0,0
Texas,Lowry Crossing,0,,"Lowry Crossing, Texas",0,0
Pennsylvania,Mount Carmel,0,,"Mount Carmel, Pennsylvania",0,0
Missouri,Hallsville,0,,"Hallsville, Missouri",0,0
Indiana,Speedway,0,,"Speedway, Indiana",0,0
Oklahoma,Bennington,0,,"Bennington, Oklahoma",0,0
Louisiana,Plain Dealing,0,,"Plain Dealing, Louisiana",0,0
Indiana,Sellersburg,0,,"Sellersburg, Indiana",0,0
Minnesota,Mabel,0,,"Mabel, Minnesota",0,0
Ohio,Centerburg,0,,"Centerburg, Ohio",0,0
Minnesota,Rushford Village,0,,"Rushford Village, Minnesota",0,0
New Mexico,Hagerman,0,,"Hagerman, New Mexico",0,0
Missouri,Dardenne Prairie,0,,"Dardenne Prairie, Missouri",0,0
New Jersey,Bayonne,0,,"Bayonne, New Jersey",0,0
Iowa,Lake Mills,0,,"Lake Mills, Iowa",0,0
Nebraska,Wayne,0,,"Wayne, Nebraska",0,0
Georgia,Franklin Springs,0,,"Franklin Springs, Georgia",0,0
North Dakota,Grafton,0,,"Grafton, North Dakota",0,0
Ohio,Bucyrus,0,,"Bucyrus, Ohio",0,0
Wisconsin,Mount Calvary,0,,"Mount Calvary, Wisconsin",0,0
Mississippi,Hernando,0,,"Hernando, Mississippi",0,0
Maryland,Middletown,0,,"Middletown, Maryland",0,0
Indiana,Sunman,0,,"Sunman, Indiana",0,0
Minnesota,St Paul,0,,"St Paul, Minnesota",0,0
Oklahoma,Meno,0,,"Meno, Oklahoma",0,0
Pennsylvania,Conneautville,0,,"Conneautville, Pennsylvania",0,0
New Jersey,Edgewater,0,,"Edgewater, New Jersey",0,0
New Jersey,Magnolia,0,,"Magnolia, New Jersey",0,0
Ohio,Trenton,0,,"Trenton, Ohio",0,0
Oklahoma,Prague,0,,"Prague, Oklahoma",0,0
New Jersey,Dover,0,,"Dover, New Jersey",0,0
Oregon,Coburg,0,,"Coburg, Oregon",0,0
Louisiana,Lutcher,0,,"Lutcher, Louisiana",0,0
Pennsylvania,Lincoln,0,,"Lincoln, Pennsylvania",0,0
West Virginia,Madison,0,,"Madison, West Virginia",0,0
Pennsylvania,Liberty,0,,"Liberty, Pennsylvania",0,0
Oregon,Merrill,0,,"Merrill, Oregon",0,0
Alaska,Kodiak,0,,"Kodiak, Alaska",0,0
Maryland,New Windsor,0,,"New Windsor, Maryland",0,0
Utah,Paradise,0,,"Paradise, Utah",0,0
Montana,Valier,0,,"Valier, Montana",0,0
New York,Massapequa Park,0,,"Massapequa Park, New York",0,0
Michigan,Vernon,0,,"Vernon, Michigan",0,0
Iowa,West Burlington,0,,"West Burlington, Iowa",0,0
Missouri,St Clair,0,,"St Clair, Missouri",0,0
Nebraska,Alma,0,,"Alma, Nebraska",0,0
Oregon,Dundee,0,,"Dundee, Oregon",0,0
Mississippi,Stonewall,0,,"Stonewall, Mississippi",0,0
Iowa,Ida Grove,0,,"Ida Grove, Iowa",0,0
Oklahoma,Colbert,0,,"Colbert, Oklahoma",0,0
Minnesota,Brooten,0,,"Brooten, Minnesota",0,0
Illinois,Third Lake,0,,"Third Lake, Illinois",0,0
Ohio,North Canton,0,,"North Canton, Ohio",0,0
Tennessee,Murfreesboro,0,,"Murfreesboro, Tennessee",0,0
Missouri,Ste Genevieve,0,,"Ste Genevieve, Missouri",0,0
Indiana,Connersville,70,,"Connersville, Indiana",0,0
Missouri,Ste Genevieve,0,,"Ste Genevieve, Missouri",0,0
South Dakota,Plankinton,0,,"Plankinton, South Dakota",0,0
New Jersey,Hamburg,0,,"Hamburg, New Jersey",0,0
Illinois,Third Lake,0,,"Third Lake, Illinois",0,0
Iowa,Lamoni,0,,"Lamoni, Iowa",0,0
Illinois,Tower Lakes,90,,"Tower Lakes, Illinois",0,0
Arkansas,Texarkana,0,,"Texarkana, Arkansas",0,0
Pennsylvania,Laflin,0,,"Laflin, Pennsylvania",0,0
Pennsylvania,Curwensville,0,,"Curwensville, Pennsylvania",0,0
Minnesota,Spring Valley,0,,"Spring Valley, Minnesota",0,0
Alaska,Hydaburg,0,,"Hydaburg, Alaska",0,0
Mississippi,Collins,0,,"Collins, Mississippi",0,0
Arkansas,Mcgehee,0,,"Mcgehee, Arkansas",0,0
Arkansas,Cabot,0,,"Cabot, Arkansas",0,0
Mississippi,Booneville,0,,"Booneville, Mississippi",0,0
Indiana,Muncie,73,,"Muncie, Indiana",0,0
Arkansas,Guy,0,,"Guy, Arkansas",0,0
Louisiana,Patterson,0,,"Patterson, Louisiana",0,0
New Jersey,Highland Park,0,,"Highland Park, New Jersey",0,0
Oklahoma,Strang,0,,"Strang, Oklahoma",0,0
Missouri,Town And Country,32,,"Town And Country, Missouri",0,0
Illinois,Mount Sterling,0,,"Mount Sterling, Illinois",0,0
Pennsylvania,Newport,0,,"Newport, Pennsylvania",0,0
Pennsylvania,Centerville,0,,"Centerville, Pennsylvania",0,0
Washington,Ridgefield,0,,"Ridgefield, Washington",0,0
Ohio,East Cleveland,0,,"East Cleveland, Ohio",0,0
Ohio,Englewood,0,,"Englewood, Ohio",0,0
Oklahoma,Amber,71,,"Amber, Oklahoma",0,0
Nevada,Winnemucca,14,,"Winnemucca, Nevada",0,0
Texas,Red Lick,0,,"Red Lick, Texas",0,0
Texas,Vidor,37,,"Vidor, Texas",0,0
Alabama,Daleville,0,,"Daleville, Alabama",0,0
Kansas,Ellis,0,,"Ellis, Kansas",0,0
Arkansas,Green Forest,0,,"Green Forest, Arkansas",0,0
California,California City,0,,"California City, California",0,0
Indiana,Speedway,0,,"Speedway, Indiana",0,0
Missouri,Pasadena Hills,0,,"Pasadena Hills, Missouri",0,0
New York,Newburgh,0,,"Newburgh, New York",0,0
Iowa,Bellevue,0,,"Bellevue, Iowa",0,0
New York,Newark Valley,0,,"Newark Valley, New York",0,0
Colorado,Windsor,0,,"Windsor, Colorado",0,0
Minnesota,International Falls,0,,"International Falls, Minnesota",0,0
California,Rio Vista,0,,"Rio Vista, California",0,0
Ohio,Springfield,0,,"Springfield, Ohio",0,0
Louisiana,Washington,0,,"Washington, Louisiana",0,0
Oklahoma,Whitefield,0,,"Whitefield, Oklahoma",0,0
Colorado,Brighton,0,,"Brighton, Colorado",0,0
Nebraska,Arapahoe,0,,"Arapahoe, Nebraska",0,0
New Jersey,Demarest,0,,"Demarest, New Jersey",0,0
Louisiana,Washington,0,,"Washington, Louisiana",0,0
New York,Lockport,0,,"Lockport, New York",0,0
Pennsylvania,Honesdale,0,,"Honesdale, Pennsylvania",0,0
Georgia,Homerville,0,,"Homerville, Georgia",0,0
Indiana,Worthington,0,,"Worthington, Indiana",0,0
Oregon,Falls City,95,,"Falls City, Oregon",0,0
Missouri,Lake Ozark,0,,"Lake Ozark, Missouri",0,0
Colorado,Mount Crested Butte,0,,"Mount Crested Butte, Colorado",0,0
Ohio,Pickerington,0,,"Pickerington, Ohio",0,0
Kansas,Coldwater,0,,"Coldwater, Kansas",0,0
Nebraska,Papillion,0,,"Papillion, Nebraska",0,0
Oregon,Hubbard,0,,"Hubbard, Oregon",0,0
Ohio,Springboro,0,,"Springboro, Ohio",0,0
Missouri,Jennings,0,,"Jennings, Missouri",0,0
New Jersey,Fair Lawn,0,,"Fair Lawn, New Jersey",0,0
Oklahoma,Chattanooga,0,,"Chattanooga, Oklahoma",0,0
South Dakota,Elkton,0,,"Elkton, South Dakota",0,0
New York,Jamestown,0,,"Jamestown, New York",0,0
Indiana,Wolcottville,54,,"Wolcottville, Indiana",0,0
Vermont,Morrisville,0,,"Morrisville, Vermont",0,0
California,Sutter Creek,0,,"Sutter Creek, California",0,0
Iowa,Graettinger,0,,"Graettinger, Iowa",0,0
Illinois,Macon,0,,"Macon, Illinois",0,0
Ohio,Greenhills,0,,"Greenhills, Ohio",0,0
Iowa,Parkersburg,0,,"Parkersburg, Iowa",0,0
Arkansas,Mccrory,0,,"Mccrory, Arkansas",0,0
Illinois,Rushville,0,,"Rushville, Illinois",0,0
Louisiana,Gibsland,0,,"Gibsland, Louisiana",0,0
Louisiana,Greensburg,0,,"Greensburg, Louisiana",0,0
Iowa,Bloomfield,0,,"Bloomfield, Iowa",0,0
Indiana,Valparaiso,0,,"Valparaiso, Indiana",0,0
Pennsylvania,Brookhaven,0,,"Brookhaven, Pennsylvania",0,0
Missouri,Green Park,0,,"Green Park, Missouri",0,0
North Dakota,Mapleton,0,,"Mapleton, North Dakota",0,0
Texas,Horizon City,0,,"Horizon City, Texas",0,0
Arkansas,Foreman,0,,"Foreman, Arkansas",0,0
Indiana,Lawrenceburg,25,,"Lawrenceburg, Indiana",0,0
North Carolina,Calabash,93,,"Calabash, North Carolina",0,0
Louisiana,Grand Coteau,0,,"Grand Coteau, Louisiana",0,0
Pennsylvania,Vandling,0,,"Vandling, Pennsylvania",0,0
North Carolina,Marshville,94,,"Marshville, North Carolina",0,0
Pennsylvania,Eddystone,0,,"Eddystone, Pennsylvania",0,0
Mississippi,Bude,0,,"Bude, Mississippi",0,0
Missouri,Eureka,0,,"Eureka, Missouri",0,0
Ohio,Crooksville,0,,"Crooksville, Ohio",0,0
Pennsylvania,Tamaqua,0,,"Tamaqua, Pennsylvania",0,0
Ohio,Lima,0,,"Lima, Ohio",0,0
Texas,Kempner,0,,"Kempner, Texas",0,0
Illinois,White Hall,0,,"White Hall, Illinois",0,0
Louisiana,Grand Isle,0,,"Grand Isle, Louisiana",0,0
Pennsylvania,New Berlin,0,,"New Berlin, Pennsylvania",0,0
Kansas,Kingman,0,,"Kingman, Kansas",0,0
North Dakota,Valley City,0,,"Valley City, North Dakota",0,0
Colorado,Parachute,0,,"Parachute, Colorado",0,0
Illinois,Sheridan,0,,"Sheridan, Illinois",0,0
Tennessee,Greenback,0,,"Greenback, Tennessee",0,0
Oregon,Amity,0,,"Amity, Oregon",0,0
Missouri,Wildwood,0,,"Wildwood, Missouri",0,0
Michigan,Newaygo,0,,"Newaygo, Michigan",0,0
Missouri,Wildwood,0,,"Wildwood, Missouri",0,0
Illinois,Sheridan,0,,"Sheridan, Illinois",0,0
California,El Cerrito,0,,"El Cerrito, California",0,0
Missouri,Green Park,0,,"Green Park, Missouri",0,0
New York,Hillburn,60,,"Hillburn, New York",0,0
Arkansas,Elm Springs,0,,"Elm Springs, Arkansas",0,0
Missouri,Country Club Hills,0,,"Country Club Hills, Missouri",0,0
Ohio,Blanchester,0,,"Blanchester, Ohio",0,0
Georgia,Sylvester,54,,"Sylvester, Georgia",0,0
Washington,Prosser,0,,"Prosser, Washington",0,0
Arkansas,Lake Village,0,,"Lake Village, Arkansas",0,0
Pennsylvania,Big Beaver,0,,"Big Beaver, Pennsylvania",0,0
Ohio,Plain City,0,,"Plain City, Ohio",0,0
Idaho,Plummer,0,,"Plummer, Idaho",0,0
Louisiana,Krotz Springs,0,,"Krotz Springs, Louisiana",0,0
Iowa,Center Point,0,,"Center Point, Iowa",0,0
Mississippi,Booneville,0,,"Booneville, Mississippi",0,0
Ohio,Vandalia,0,,"Vandalia, Ohio",0,0
New Mexico,Dexter,36,,"Dexter, New Mexico",0,0
California,Corning,27,,"Corning, California",0,0
Mississippi,Pickens,0,,"Pickens, Mississippi",0,0
Florida,Lawtey,0,,"Lawtey, Florida",0,0
Iowa,Winthrop,0,,"Winthrop, Iowa",0,0
Nebraska,Hickman,0,,"Hickman, Nebraska",0,0
Missouri,Desloge,0,,"Desloge, Missouri",0,0
New Jersey,Folsom,0,,"Folsom, New Jersey",0,0
West Virginia,Chapmanville,0,,"Chapmanville, West Virginia",0,0
Missouri,Desloge,0,,"Desloge, Missouri",0,0
Illinois,Earlville,0,,"Earlville, Illinois",0,0
Illinois,Davis Junction,0,,"Davis Junction, Illinois",0,0
Oklahoma,Achille,0,,"Achille, Oklahoma",0,0
Ohio,Youngstown,0,,"Youngstown, Ohio",0,0
California,Monte Sereno,0,,"Monte Sereno, California",0,0
Pennsylvania,Berwick,0,,"Berwick, Pennsylvania",0,0
Florida,Macclenny,77,,"Macclenny, Florida",0,0
Pennsylvania,Sharpsville,0,,"Sharpsville, Pennsylvania",0,0
Delaware,Middletown,0,,"Middletown, Delaware",0,0
North Dakota,Casselton,0,,"Casselton, North Dakota",0,0
Ohio,Forest Park,0,,"Forest Park, Ohio",0,0
New Jersey,Union City,0,,"Union City, New Jersey",0,0
Illinois,Riverwoods,52,,"Riverwoods, Illinois",0,0
Iowa,Woodbine,0,,"Woodbine, Iowa",0,0
Nebraska,Ceresco,0,,"Ceresco, Nebraska",0,0
Illinois,Gifford,0,,"Gifford, Illinois",0,0
New York,Bellport,0,,"Bellport, New York",0,0
Missouri,Cottleville,0,,"Cottleville, Missouri",0,0
Louisiana,Wisner,0,,"Wisner, Louisiana",0,0
California,Rio Dell,0,,"Rio Dell, California",0,0
Iowa,Shellsburg,0,,"Shellsburg, Iowa",0,0
New Jersey,Woodstown,0,,"Woodstown, New Jersey",0,0
Texas,Granger,0,,"Granger, Texas",0,0
New Mexico,Albuquerque,19,,"Albuquerque, New Mexico",0,0
Ohio,Anna,0,,"Anna, Ohio",0,0
New Jersey,Long Branch,0,,"Long Branch, New Jersey",0,0
Texas,Southside Place,0,,"Southside Place, Texas",0,0
Mississippi,Smithville,0,,"Smithville, Mississippi",0,0
Pennsylvania,Spring Grove,0,,"Spring Grove, Pennsylvania",0,0
Colorado,Dillon,0,,"Dillon, Colorado",0,0
New Jersey,Oaklyn,0,,"Oaklyn, New Jersey",0,0
Oregon,Tangent,0,,"Tangent, Oregon",0,0
Ohio,Moraine,0,,"Moraine, Ohio",0,0
Arkansas,Cabot,0,,"Cabot, Arkansas",0,0
Idaho,Star,0,,"Star, Idaho",0,0
Iowa,Charles City,0,,"Charles City, Iowa",0,0
Oklahoma,Pocola,0,,"Pocola, Oklahoma",0,0
Iowa,Inwood,0,,"Inwood, Iowa",0,0
Illinois,Piper City,0,,"Piper City, Illinois",0,0
New Jersey,Manasquan,0,,"Manasquan, New Jersey",0,0
Mississippi,Centreville,0,,"Centreville, Mississippi",0,0
Nebraska,Ord,0,,"Ord, Nebraska",0,0
Kansas,Mulvane,0,,"Mulvane, Kansas",0,0
Texas,Briarcliff,0,,"Briarcliff, Texas",0,0
Nebraska,Gretna,0,,"Gretna, Nebraska",0,0
Pennsylvania,Clarks Summit,0,,"Clarks Summit, Pennsylvania",0,0
Pennsylvania,Throop,0,,"Throop, Pennsylvania",0,0
Ohio,Steubenville,0,,"Steubenville, Ohio",0,0
Colorado,Rangely,0,,"Rangely, Colorado",0,0
New York,Port Jervis,0,,"Port Jervis, New York",0,0
Missouri,Lawson,0,,"Lawson, Missouri",0,0
New Jersey,Leonia,0,,"Leonia, New Jersey",0,0
Kentucky,Taylor Mill,24,,"Taylor Mill, Kentucky",0,0
Indiana,Montezuma,0,,"Montezuma, Indiana",0,0
Arkansas,Pea Ridge,0,,"Pea Ridge, Arkansas",0,0
Georgia,Maysville,0,,"Maysville, Georgia",0,0
Minnesota,Isanti,0,,"Isanti, Minnesota",0,0
Ohio,Paulding,0,,"Paulding, Ohio",0,0
Illinois,Hardin,0,,"Hardin, Illinois",0,0
North Carolina,Boonville,95,,"Boonville, North Carolina",0,0
Mississippi,Summit,0,,"Summit, Mississippi",0,0
New Jersey,Brielle,0,,"Brielle, New Jersey",0,0
Nebraska,Aurora,0,,"Aurora, Nebraska",0,0
Minnesota,Clearwater,0,,"Clearwater, Minnesota",0,0
Indiana,Monrovia,0,,"Monrovia, Indiana",0,0
Michigan,Roscommon,0,,"Roscommon, Michigan",0,0
Iowa,Bondurant,0,,"Bondurant, Iowa",0,0
New Jersey,Perth Amboy,0,,"Perth Amboy, New Jersey",0,0
Indiana,Otterbein,0,,"Otterbein, Indiana",0,0
Ohio,Harrison,0,,"Harrison, Ohio",0,0
Pennsylvania,Lehighton,0,,"Lehighton, Pennsylvania",0,0
Louisiana,Erath,0,,"Erath, Louisiana",0,0
Nebraska,Auburn,0,,"Auburn, Nebraska",0,0
Iowa,Buffalo Center,0,,"Buffalo Center, Iowa",0,0
New York,Penn Yan,0,,"Penn Yan, New York",0,0
